,context,question
0,"Albert Einstein's Inventions and Discoveries
As a physicist, Einstein had many discoveries, but he is perhaps best known for his theory of relativity and the equation E=MC2, which foreshadowed the development of atomic power and the atomic bomb.Apr 2, 2014
Albert Einstein - Quotes, Education & Facts - Biography
https://www.biography.com › scientist › albert-einstein
Search for: Why is Albert Einstein famous?",Why is Albert Einstein famous?
1,"Einstein refrigerator
Gas absorption heat pump
Albert Einstein/Inventions
Search for: What Albert Einstein invented?",What Albert Einstein invented?
2,"Abdominal aortic aneurysm
Albert Einstein/Cause of death
Einstein died in April 1955 from an abdominal aortic aneurysm. He had requested that his body be cremated, but in a bizarre incident, Princeton pathologist Thomas Harvey removed his famous brain during his autopsy and kept it in the hope of unlocking the secrets of his genius.Oct 26, 2015
9 Things You May Not Know About Albert Einstein - HISTORY
https://www.history.com › news › 9-things-you-may-not-know-about-albert-...
Search for: How did Einstein die?",How did Einstein die?
3,"Albert Einstein had an IQ of about 160.May 9, 2017
Can a 12-Year-Old Really Be Smarter Than Einstein? | Live Science
https://www.livescience.com › 59020-what-high-intelligence-iq-means
Search for: What was Albert Einstein IQ?",What was Albert Einstein IQ?
4,"76 years (1879–1955)
Albert Einstein/Age at death
Einstein died on April 18, 1955, at age 76, after suffering an abdominal aortic aneurysm rupture several days before. Einstein would write that two “wonders” deeply affected his early years. The first was his encounter with a compass at age five. He was mystified that invisible forces could deflect the needle.
Albert Einstein | Biography, Education, Discoveries, & Facts ...
https://www.britannica.com › biography › Albert-Einstein
Search for: At what age Albert Einstein died?",At what age Albert Einstein died?
5,"Einstein refrigerator
Gas absorption heat pump
Albert Einstein/Inventions
Search for: What Albert Einstein invent first?",What Albert Einstein invent first?
6,"Eduard Einstein
Son
Hans Albert Einstein
Son
Lieserl Einstein
Daughter
Albert Einstein/Children
Search for: Did Albert Einstein have any children?",Did Albert Einstein have any children?
7,"Elsa Einstein
m. 1919–1936
Mileva Marić
m. 1903–1919
Albert Einstein/Spouse
Search for: Was Einstein married?",Was Einstein married?
8,"10 Things You (Probably) Didn't Know About Einstein
He renounced his German citizenship when he was 16.
He married the only female student in his physics class.
He had a 1,427-page FBI file.
He had an illegitimate baby.
He paid his first wife his Nobel Prize money for a divorce.
He married his first cousin.
More items...•Apr 25, 2017
10 Things You (Probably) Didn't Know About Einstein
https://www.nationalgeographic.com › 2017/04 › einstein-facts-science-genius
Search for: What are 3 interesting facts about Albert Einstein?",What are 3 interesting facts about Albert Einstein?
9,"Princeton Medical Center, New Jersey, United States
Albert Einstein/Place of death
Search for: Where did Einstein die?",Where did Einstein die?
10,"For the last 39 of his 76 years of life, physicist Albert Einstein (1879-1955) suffered from chronic illness. His health problems were primarily related to multiple complications of digestive system disorders; liver ailment, stomach ulcer, inflammation of gall bladder, jaundice and intestinal pains.
An appraisal of Albert Einstein's chronic illness. - NCBI
https://www.ncbi.nlm.nih.gov › pubmed
Search for: What illness did Einstein have?",What illness did Einstein have?
11,"Although Einstein's body was cremated, his brain was saved. Dr. Thomas S. Harvey, a pathologist at Princeton Hospital, removed Einstein's brain on the morning of Einstein's death. What happened to the brain for years after this is somewhat of a mystery.
What Became of Albert Einstein's Brain?
https://faculty.washington.edu › chudler › ein
Search for: What happened to Albert Einstein brain?",What happened to Albert Einstein brain?
12,"The hoax email showed Bill Clinton having the highest IQ (182) and George W. Bush the lowest (91).
U.S. Presidential IQ hoax - Wikipedia
https://en.m.wikipedia.org › wiki › U.S._Presidential_IQ_hoax
Search for: What president had highest IQ?",What president had highest IQ?
13,"According to the most recent data, Singapore is the country with the highest IQ in 2019, with an average of 107.1.
...
Countries by IQ - Average IQ by Country 2019
Austria.
Czech Republic.
New Zealand.
Germany.
Sweden.
Iceland.
France.
Hungary.
More items...•Aug 28, 2019
Countries by IQ - Average IQ by Country 2019
worldpopulationreview.com › countries › average-iq-by-country
Search for: Who has the highest IQ 2019?",Who has the highest IQ 2019?
14,"Christopher Michael Langan (born March 25, 1952) is an American horse rancher known for his claim of a very high IQ, frequently reported to be at ""around 195"". As a result of his score, he has been described as ""the smartest man in America"" as well as ""the smartest man in the world"" by some journalists.
Christopher Langan - Wikipedia
https://en.m.wikipedia.org › wiki › Christopher_Langan
Search for: Who is the smartest person alive?",Who is the smartest person alive?
